d2ddb868;WString16Array;OwnedHorseList.Name
aabf3198;UInt64Array;OwnedHorseList.UidHash
7bde80e9;String64Array;OwnedHorseList.ActorName
c8454f7c;IntArray;OwnedHorseList.ChargeNum
f4505b59;IntArray;OwnedHorseList.ColorType
bf41c181;IntArray;OwnedHorseList.FootType
10d564d7;IntArray;OwnedHorseList.HorsePower
cea848b6;IntArray;OwnedHorseList.HorseType
2b38e761;IntArray;OwnedHorseList.RoomID
c0775abf;IntArray;OwnedHorseList.Speed
afe462c3;IntArray;OwnedHorseList.Toughness
dcd9f005;FloatArray;OwnedHorseList.Familiarity
48bfcf08;EnumArray;OwnedHorseList.Body.EyeColor
fbf44df2;EnumArray;OwnedHorseList.Body.Pattern
54049354;EnumArray;OwnedHorseList.Mane
fee5cd77;EnumArray;OwnedHorseList.Rein
1daf6cb4;EnumArray;OwnedHorseList.Saddle
ffc11580;BoolArray;OwnedHorseList.IsFamiliarityChecked
5dd10d95;UIntArray;OwnedHorseList.Body.NoseColor.Blue
fec02192;UIntArray;OwnedHorseList.Body.NoseColor.Green
9e10d432;UIntArray;OwnedHorseList.Body.NoseColor.Red
8641b84a;UIntArray;OwnedHorseList.Body.PrimaryColor.Blue
4c368f29;UIntArray;OwnedHorseList.Body.PrimaryColor.Green
88043afb;UIntArray;OwnedHorseList.Body.PrimaryColor.Red
f80ed57f;UIntArray;OwnedHorseList.Body.SecondaryColor.Blue
0edd22b8;UIntArray;OwnedHorseList.Body.SecondaryColor.Green
23f001ff;UIntArray;OwnedHorseList.Body.SecondaryColor.Red
acac7495;UIntArray;OwnedHorseList.Hair.PrimaryColor.Blue
ddfd5a47;UIntArray;OwnedHorseList.Hair.PrimaryColor.Green
23bc3488;UIntArray;OwnedHorseList.Hair.PrimaryColor.Red
452edf9d;UIntArray;OwnedHorseList.Hair.SecondaryColor.Blue
73c83bd4;UIntArray;OwnedHorseList.Hair.SecondaryColor.Green
2e525419;UIntArray;OwnedHorseList.Hair.SecondaryColor.Red

EnumValues;OwnedHorseList.Body.EyeColor;Black,Blue
EnumValues;OwnedHorseList.Body.Pattern;00,01,02,03,04,05,06
EnumValues;OwnedHorseList.Mane;None,Horse_Link_Mane,Horse_Link_Mane_01,Horse_Link_Mane_02,Horse_Link_Mane_03,Horse_Link_Mane_04,Horse_Link_Mane_05,Horse_Link_Mane_06,Horse_Link_Mane_07,Horse_Link_Mane_08,Horse_Link_Mane_09,Horse_Link_Mane_00L,Horse_Link_Mane_00S,Horse_Link_Mane_10,Horse_Link_Mane_11,Horse_Link_Mane_12,Horse_Link_Mane_01L
EnumValues;OwnedHorseList.Rein;None,GameRomHorseReins_00,GameRomHorseReins_01,GameRomHorseReins_02,GameRomHorseReins_03,GameRomHorseReins_04,GameRomHorseReins_05,GameRomHorseReins_06,GameRomHorseReins_00L,GameRomHorseReins_00S
EnumValues;OwnedHorseList.Saddle;None,GameRomHorseSaddle_00,GameRomHorseSaddle_01,GameRomHorseSaddle_02,GameRomHorseSaddle_03,GameRomHorseSaddle_04,GameRomHorseSaddle_05,GameRomHorseSaddle_06,GameRomHorseSaddle_00L,GameRomHorseSaddle_00S,GameRomHorseSaddle_07
